Domain,Title,Content,File_Path
Film,40. The Lost Boys,"When a recently divorced mother and her two teenage boys move to a coastal town to stay with her father, it doesn't take long for the brothers to realize the area is a haven for something much more sinister than party-going surfers.",Movie_Gothic_39.jpg
Film,41. A Cure for Wellness,A stockbroker unravels the terrifying secrets of a mysterious Swiss spa where guests never leave.,Movie_Gothic_40.jpg
Film,42. Dark City,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",Movie_Gothic_41.jpg
Film,44. Indiana Jones and the Temple of Doom,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a sacred stone stolen from them by a secret cult.",Movie_Gothic_42.jpg
Film,45. Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",Movie_Gothic_43.jpg
Film,46. Bram Stoker's Dracula,Centuries-old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and wreak havoc in the foreign land.,Movie_Gothic_44.jpg
Film,47. Event Horizon,A rescue crew is tasked with investigating the mysterious reappearance of a spaceship that had been lost for seven years.,Movie_Gothic_45.jpg
Film,48. Final Destination,"After getting a premonition about a plane crash on his school trip, Alex, a student, saves a few of his classmates. However, their situation gets complicated when death starts chasing them.",Movie_Gothic_46.jpg
Film,49. Jurassic World: Fallen Kingdom,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Movie_Gothic_47.jpg
Film,50. Cape Fear,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",Movie_Gothic_48.jpg
Film,51. Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Movie_Gothic_49.jpg
Film,52. What Happens at Night,"A married American couple visits a snowy European town to adopt. At their eerie hotel, they meet odd characters - a chanteuse, businessman and faith healer. Reality blurs as they pursue the baby and question their lives.",Movie_Gothic_50.jpg
Film,53. Sleepy Hollow,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,Movie_Gothic_51.jpg
Film,54. Evil Dead,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",Movie_Gothic_52.jpg
Film,55. Interview with the Vampire: The Vampire Chronicles,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",Movie_Gothic_53.jpg
Film,56. Coraline,"Wandering her rambling old house in her boring new town, a young girl discovers a hidden door to a strangely idealized version of her life that seems too good to be true.",Movie_Gothic_54.jpg
Film,57. Night Hunter,"A detective investigates a young woman's apparent escape from captivity. As missing person cases connect to a hidden network of abducted girls, a suspect is caught, yet doubts emerge about whether the real predator still remains unseen.",Movie_Gothic_55.jpg
Film,58. The Empty Man,A retired cop links mysterious disappearances to a mystical urban legend.,Movie_Gothic_56.jpg
Film,59. The Phantom of the Opera,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,Movie_Gothic_57.jpg
Film,60. Doctor Sleep,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",Movie_Gothic_58.jpg
Film,61. Beetlejuice,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",Movie_Gothic_59.jpg
Film,62. A Nightmare on Elm Street,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",Movie_Gothic_60.jpg
Film,63. The Babadook,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home.",Movie_Gothic_61.jpg
Film,64. The Elephant Man,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication.",Movie_Gothic_62.jpg
Film,65. Hannibal,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target of revenge from a powerful victim.",Movie_Gothic_63.jpg
Film,66. Manhunter,"Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media.",Movie_Gothic_64.jpg
Film,67. It: Chapter Two,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Movie_Gothic_65.jpg
Film,68. The Pale Blue Eye,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Movie_Gothic_66.jpg
Film,69. Miss Peregrine's Home for Peculiar Children,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Movie_Gothic_67.jpg
Film,70. Underworld,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",Movie_Gothic_68.jpg
Film,71. A Series of Unfortunate Events,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",Movie_Gothic_69.jpg
Film,72. Death Becomes Her,Two women vie for a man and the secret of eternal beauty.,Movie_Gothic_70.jpg
Film,73. Red Dragon,"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",Movie_Gothic_71.jpg
Film,74. Jacob's Ladder,"Reminiscing about his dead son, a Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death.",Movie_Gothic_72.jpg
Film,75. Edward Scissorhands,The solitary life of an artificial man with scissors for hands is upended when he is taken in by a suburban family.,Movie_Gothic_73.jpg
Film,76. Wind Chill,"Two college students share a ride home for the holidays, but when they break down on a deserted stretch of road, they are preyed upon by the ghosts of people who have died there.",Movie_Gothic_74.jpg
Film,77. Pandorum,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.",Movie_Gothic_75.jpg
Film,78. Låt den rätte komma in,"A bullied boy forms a unique friendship with his new neighbor, a peculiar girl with a dark secret.",Movie_Gothic_76.jpg
Film,79. Batman & Robin,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,Movie_Gothic_77.jpg
Film,80. The Crow,"The night before his wedding, musician Eric Draven and his fiancée are brutally murdered by members of a violent gang. On the anniversary of their death, Eric rises from the grave and assumes the mantle of the Crow, a supernatural avenger.",Movie_Gothic_78.jpg
Film,81. Fallen,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style.",Movie_Gothic_79.jpg
Film,82. Sweeney Todd: The Demon Barber of Fleet Street,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",Movie_Gothic_80.jpg
Film,83. Hellboy,"A demon raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",Movie_Gothic_81.jpg
Film,84. The Texas Chain Saw Massacre,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",Movie_Gothic_82.jpg
Film,85. Batman Forever,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Movie_Gothic_83.jpg
Film,86. Carrie,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",Movie_Gothic_84.jpg
Film,87. Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Movie_Gothic_85.jpg
Film,88. A Haunting in Venice,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",Movie_Gothic_86.jpg
Film,89. The Dreadful,"The Dreadful follows Anne and her mother-in-law Morwen who live a solitary, harsh life on the outskirts of society - but when a man from their past returns, he will set off a sequence of events that become a turning point for Anne.",Movie_Gothic_87.jpg
Film,90. Batman Returns,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Movie_Gothic_88.jpg
Film,91. Angel Heart,"In 1955 New Orleans, small-time private investigator Harry Angel is hired by a man who calls himself Louis Cypher to track down a singer named Johnny Favorite, but the investigation takes an unexpected and somber turn.",Movie_Gothic_89.jpg
Film,92. The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",Movie_Gothic_90.jpg
Film,93. The Addams Family,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,Movie_Gothic_91.jpg
Film,94. The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Bella and Edward's daughter, Renesmee, the Cullens gather werewolves, vampire clans, and other allies from around the world to protect her after a false allegation puts her life in danger.",Movie_Gothic_92.jpg
Film,95. Suspiria,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",Movie_Gothic_93.jpg
Film,96. Dracula Untold,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",Movie_Gothic_94.jpg
Film,97. Salem's Lot,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.",Movie_Gothic_95.jpg
Film,98. Crimson Peak,A new bride investigates ghostly visions at a remote gothic mansion that holds dark secrets.,Movie_Gothic_96.jpg
Film,99. The Craft,"A young girl new to a Catholic school befriends a coven of witches whom the other students either shun or fear. But when a powerful invocation goes wrong, the consequences could endanger their lives.",Movie_Gothic_97.jpg
Film,100. Resident Evil: Welcome to Raccoon City,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",Movie_Gothic_98.jpg
Film,101. Taking Lives,"A murder spree in Montreal, with the killer embracing his victims' identities, leads to an investigation by the FBI agent Illeana Scott. Her bond with an art dealer is crucial to solving the case.",Movie_Gothic_99.jpg
Film,102. Halloween Ends,A cascade of violence and terror forces Laurie Strode to confront the evil she can't control.,Movie_Gothic_100.jpg
Film,103. Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",Movie_Gothic_101.jpg
Film,104. The Twilight Saga: Eclipse,"Danger once again lurks for Bella, with a malicious vampire seeking revenge. Amidst the turmoil, Bella must choose between her love for Edward and her friendship with Jacob, knowing the decision could trigger a battle between them.",Movie_Gothic_102.jpg
Film,105. What Lies Beneath,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,Movie_Gothic_103.jpg
Film,106. Child's Play,"A dying serial killer transfers his consciousness into a popular kids doll using voodoo. A struggling single mother gifts her six-year-old son the much sought-after doll for his birthday, and the doll slowly begins to show its true colors.",Movie_Gothic_104.jpg
Film,107. Tim Burton's the Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Movie_Gothic_105.jpg
Film,108. Friday the 13th,"A group of teenage camp counselors attempt to re-open an abandoned summer camp with a tragic past, but they are stalked by a mysterious, relentless killer.",Movie_Gothic_106.jpg
Film,109. Hellboy,"Caught between the worlds of the supernatural and human, Hellboy battles an ancient sorceress bent on revenge.",Movie_Gothic_107.jpg
Film,110. Hostel,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",Movie_Gothic_108.jpg
Film,111. The Skeleton Key,A hospice nurse working at a New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,Movie_Gothic_109.jpg
Film,112. The Hunchback of Notre Dame,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",Movie_Gothic_110.jpg
Film,113. Overlord,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,Movie_Gothic_111.jpg
Film,114. Torden,Fantasy adventure origin story about a young man discovering he has god-like powers based on ancient Norse mythology.,Movie_Gothic_112.jpg
Film,115. Wolf Man,"A family at a remote farmhouse is attacked by an unseen animal, but as the night stretches on, the father begins to transform into something unrecognizable.",Movie_Gothic_113.jpg
Film,116. Banpaia hantâ D,"In the year 12,090 AD, the dhampir hunter ""D"" is hired to rescue Charlotte Elbourne from the vampire nobleman Meier Link.",Movie_Gothic_114.jpg
Film,117. Snow White and the Huntsman,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",Movie_Gothic_115.jpg
Film,118. Wuthering Heights,"A poor boy of unknown origins is rescued from poverty and taken in by the Earnshaw family where he develops an intense relationship with his young foster sister, Cathy.",Movie_Gothic_116.jpg
Film,119. Suspiria,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,Movie_Gothic_117.jpg
Film,120. The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge.",Movie_Gothic_118.jpg
Film,121. Jane Eyre,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,Movie_Gothic_119.jpg
Film,122. The Secret Garden,"A young, recently-orphaned girl is sent to England after living in India all of her life. Once there, she begins to explore her new, seemingly-isolated surroundings, and its secrets.",Movie_Gothic_120.jpg
Film,123. Halloween,"Laurie Strode confronts her long-time foe, Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",Movie_Gothic_121.jpg
Film,124. Blood Red Sky,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,Movie_Gothic_122.jpg
Film,125. Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Movie_Gothic_123.jpg
Film,126. The Twilight Saga: Breaking Dawn - Part 1,"A wedding and honeymoon bring unexpected and shocking consequences for Bella and Edward, including new complications with Jacob.",Movie_Gothic_124.jpg
Film,127. From Hell,"In 1888 London, a Scotland Yard investigator searches for Jack The Ripper.",Movie_Gothic_125.jpg
Film,128. Renfield,"Renfield, Dracula's tortured henchman, is forced to capture prey for his master and do his every bidding. But now, after centuries of servitude, Renfield is ready to see if there is a life outside his boss's shadow.",Movie_Gothic_126.jpg
Film,129. Monster House,"Three teens discover that their neighbor's house is really a living, breathing, scary monster.",Movie_Gothic_127.jpg
Film,130. Ed Wood,Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams despite his lack of talent.,Movie_Gothic_128.jpg
Film,131. Death Note,"A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.",Movie_Gothic_129.jpg
Film,132. Blade: Trinity,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",Movie_Gothic_130.jpg
Film,133. Pet Sematary,"After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",Movie_Gothic_131.jpg
Film,134. Morbius,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Movie_Gothic_132.jpg
Film,135. Candyman,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.",Movie_Gothic_133.jpg
Film,136. The Grudge,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",Movie_Gothic_134.jpg
Film,137. The Brothers Grimm,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,Movie_Gothic_135.jpg
Film,138. The Last Voyage of the Demeter,A crew sailing from Varna (Bulgaria) by the Black Sea to England find that they are carrying very dangerous cargo.,Movie_Gothic_136.jpg
Film,139. El orfanato,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",Movie_Gothic_137.jpg
Film,140. The Dead Zone,"Five years after a traffic accident that left him in a coma, a man awakens to discover that he has the ability to foresee future events and even prevent tragedies from happening. Will these new abilities prove to be a blessing or a curse?",Movie_Gothic_138.jpg
Film,141. Wolf,Publisher Will Randall becomes a demon wolf and has to fight to keep his job.,Movie_Gothic_139.jpg
Film,142. Ninja Assassin,"A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",Movie_Gothic_140.jpg
Film,143. The Witches of Eastwick,"Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives.",Movie_Gothic_141.jpg
Film,144. Christine,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,Movie_Gothic_142.jpg
Film,"145. Nosferatu, eine Symphonie des Grauens",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Movie_Gothic_143.jpg
Film,146. What Ever Happened to Baby Jane?,"A former vaudeville child star torments her paraplegic sister, who eclipsed her as a movie star, in their decaying Hollywood mansion while desperately clinging to hopes of a comeback.",Movie_Gothic_144.jpg
Film,147. The Fog,"Local legend tells of a ship lured on to the rocks of Antonio Bay being enveloped by a supernatural cloud as it sank; the myth says that when this mysterious fog returns, the victims will rise up from the depths seeking vengeance.",Movie_Gothic_145.jpg
Film,148. The Last Witch Hunter,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,Movie_Gothic_146.jpg
Film,149. The Beguiled,The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.,Movie_Gothic_147.jpg
Film,150. Flatliners,"Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives.",Movie_Gothic_148.jpg
Film,151. Fanny och Alexander,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Movie_Gothic_149.jpg
Film,152. Let Me In,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,Movie_Gothic_150.jpg
Film,153. Hansel & Gretel: Witch Hunters,Brother/sister duo Hansel and Gretel are professional witch-hunters who help innocent villagers. One day they stumble upon a case that could hold the key to their past.,Movie_Gothic_151.jpg
Film,154. Sleepwalkers,A mother and son move to a new town to prey on a young woman.,Movie_Gothic_152.jpg
Film,155. The Haunting,"Hill House has stood for about 90 years and appears haunted: its inhabitants have always met strange, tragic ends. Now Dr. John Markway has assembled a team of people who he thinks will prove whether or not the house is indeed haunted.",Movie_Gothic_153.jpg
Film,156. Vargtimmen,"While vacationing on a remote German island with his younger pregnant wife, an artist has an emotional breakdown while confronting his repressed desires.",Movie_Gothic_154.jpg
Film,157. Stonehearst Asylum,"When Dr Edward Newgate arrives at the asylum to begin his residency, he finds the Dr in charge has adopted unusual methods of treatment, methods that give his patients a lot of freedom. But cracks appear in the hospital's cheerful facade.",Movie_Gothic_155.jpg
Film,158. Mermaids,"An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds.",Movie_Gothic_156.jpg
Film,159. The Invitation,A woman learns the shocking and bloody truth about her family history while staying at an estate.,Movie_Gothic_157.jpg
Film,160. Max Payne,"Coming together to solve a series of murders in New York City are a police detective and an assassin, who will be hunted by the police, the mob, and a ruthless corporation.",Movie_Gothic_158.jpg
Film,161. Spiral: From the Book of Saw,"In this new chapter from the Book of Saw, a detective and his partner investigate grisly murders that are eerily reminiscent of the past.",Movie_Gothic_159.jpg
Film,162. Saw III,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,Movie_Gothic_160.jpg
Film,163. The Awakening,"In 1921, England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart visits a boarding school to explain sightings of a child ghost. Everything she believes unravels as the 'missing' begin to show themselves.",Movie_Gothic_161.jpg
Film,164. Urban Legend,A college student suspects a series of bizarre deaths are connected to certain urban legends.,Movie_Gothic_162.jpg
Film,165. Gojira,"After a dinosaur-like beast - awoken from undersea hibernation by atom bomb testing - ravages Tokyo, a scientist must decide if his similarly dangerous weapon should be used to destroy it.",Movie_Gothic_163.jpg
Film,166. The Clovehitch Killer,A picture-perfect family is shattered when the work of a serial killer hits too close to home.,Movie_Gothic_164.jpg
Film,167. Cronos,"A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years, leaving a trail of destruction in its path.",Movie_Gothic_165.jpg
Film,168. La cité des enfants perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Movie_Gothic_166.jpg
